Node1	Node2	Net
MOL000497	NOS2	target
MOL000497	PTGS1	target
MOL000497	ESR1	target
MOL000497	AR	target
MOL000497	PPARG	target
MOL000497	PTGS2	target
MOL000497	CA2	target
MOL000497	ESR2	target
MOL000497	MAPK14	target
MOL000497	GSK3B	target
MOL000497	HSP90AA1	target
MOL000497	CDK2	target
MOL000497	CCNA2	target
MOL000497	ADRB2	target
MOL000497	RELA	target
MOL000497	STAT3	target
MOL000497	CCND1	target
MOL000497	BCL2	target
MOL000497	MAPK1	target
MOL000497	RB1	target
MOL000497	CDK4	target
MOL000497	FOSL2	target
MOL004974	NOS2	target
MOL004974	PTGS1	target
MOL004974	ESR1	target
MOL004974	AR	target
MOL004974	PPARG	target
MOL004974	PTGS2	target
MOL004974	F7	target
MOL004974	RXRA	target
MOL004974	ADRB2	target
MOL004974	ESR2	target
MOL004974	MAPK14	target
MOL004974	GSK3B	target
MOL004974	HSP90AA1	target
MOL004974	CDK2	target
MOL004974	CCNA2	target
MOL004978	NOS2	target
MOL004978	PTGS1	target
MOL004978	ESR1	target
MOL004978	AR	target
MOL004978	PPARG	target
MOL004978	PTGS2	target
MOL004978	RXRA	target
MOL004978	ADRB2	target
MOL004978	ESR2	target
MOL004978	MAPK14	target
MOL004978	GSK3B	target
MOL004978	CDK2	target
MOL004978	RXRB	target
MOL004978	CCNA2	target
MOL004980	ESR1	target
MOL004980	AR	target
MOL004980	PPARG	target
MOL004980	PTGS2	target
MOL004980	ADRB2	target
MOL004980	DPP4	target
MOL004980	HSP90AA1	target
MOL004980	PTGS1	target
MOL004988	ESR1	target
MOL004988	AR	target
MOL004988	PTGS2	target
MOL004988	ESR2	target
MOL004989	NOS2	target
MOL004989	ESR1	target
MOL004989	PTGS2	target
MOL004989	F7	target
MOL004989	HSP90AA1	target
MOL004990	NOS2	target
MOL004990	PTGS1	target
MOL004990	ESR1	target
MOL004990	AR	target
MOL004990	PPARG	target
MOL004990	PTGS2	target
MOL004990	ESR2	target
MOL004990	DPP4	target
MOL004990	MAPK14	target
MOL004990	GSK3B	target
MOL004990	HSP90AA1	target
MOL004990	CDK2	target
MOL004991	NOS2	target
MOL004991	PTGS1	target
MOL004991	ESR1	target
MOL004991	AR	target
MOL004991	PPARG	target
MOL004991	PTGS2	target
MOL004991	RXRA	target
MOL004991	ADRB2	target
MOL004991	DPP4	target
MOL004991	MAPK14	target
MOL004991	GSK3B	target
MOL004991	HSP90AA1	target
MOL004991	CDK2	target
MOL004993	ESR1	target
MOL004993	PTGS2	target
MOL004993	F7	target
MOL004993	HSP90AA1	target
MOL000500	NOS2	target
MOL000500	PTGS1	target
MOL000500	ESR1	target
MOL000500	AR	target
MOL000500	PPARG	target
MOL000500	PTGS2	target
MOL000500	RXRA	target
MOL000500	ADRB2	target
MOL000500	SLC6A4	target
MOL000500	ESR2	target
MOL000500	DPP4	target
MOL000500	MAPK14	target
MOL000500	GSK3B	target
MOL000500	HSP90AA1	target
MOL000500	CDK2	target
MOL000500	CCNA2	target
MOL005000	NOS2	target
MOL005000	ESR1	target
MOL005000	AR	target
MOL005000	PPARG	target
MOL005000	PTGS2	target
MOL005000	ESR2	target
MOL005000	DPP4	target
MOL005000	MAPK14	target
MOL005000	GSK3B	target
MOL005000	HSP90AA1	target
MOL005000	CCNA2	target
MOL005001	ESR1	target
