category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	14/144	298/9423	0.0469798657718121	3.07424496644295	4.53266840813645	0.000180037729149786	0.000369844947478244	0.000114589497133279	IL4/TNF/IL10/IL6/IL1B/CCL2/CXCL8/IL2RA/IFNG/IL1A/CXCL11/CXCL2/CXCL10/CD40LG	14
Metabolism	Xenobiotics biodegradation and metabolism	hsa00980	Metabolism of xenobiotics by cytochrome P450	7/144	79/9423	0.0886075949367089	5.79825949367089	5.33498337807871	0.000194629714593007	0.000396745187439591	0.000122924030269268	CYP3A4/CYP1A2/CYP1A1/CYP1B1/GSTP1/GSTM1/GSTM2	7
Organismal Systems	Endocrine system	hsa04914	Progesterone-mediated oocyte maturation	8/144	110/9423	0.0727272727272727	4.75909090909091	4.94010953508486	0.000269835578060297	0.000545850596839532	0.000169121535465674	HSP90AA1/MAPK14/CCNA2/CDK2/AKT1/MAPK8/MAPK3/MAPK1	8
Environmental Information Processing	Signal transduction	hsa04371	Apelin signaling pathway	9/144	140/9423	0.0642857142857143	4.20669642857143	4.76189592528028	0.000283920644543933	0.000569992203061684	0.000176601357850293	NOS2/AKT1/MAPK3/MAPK1/CCND1/NOS3/PLAT/SERPINE1/SPP1	9
Organismal Systems	Endocrine system	hsa04923	Regulation of lipolysis in adipocytes	6/144	60/9423	0.1	6.54375	5.36628778337406	0.00029137618880475	0.000580561579197434	0.000179876080148559	PTGS1/PTGS2/ADRB2/AKT1/INSR/PTGER3	6
Human Diseases	Immune disease	hsa05330	Allograft rejection	5/144	39/9423	0.128205128205128	8.38942307692307	5.76037882328639	0.000294571701152771	0.000582548513473763	0.00018049169434341	IL4/TNF/IL10/IFNG/CD40LG	5
Metabolism	Lipid metabolism	hsa00140	Steroid hormone biosynthesis	6/144	66/9423	0.0909090909090909	5.94886363636364	5.02587113405518	0.000490593194793463	0.000963016271261243	0.000298372469348071	CYP3A4/CYP1A2/CYP1A1/CYP1B1/CYP19A1/SULT1E1	6
Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	5/144	45/9423	0.111111111111111	7.27083333333333	5.25265176743259	0.000580799509231444	0.00113170492607598	0.000350637474613411	TNF/IL6/IL1B/IFNG/IL1A	5
Organismal Systems	Immune system	hsa04611	Platelet activation	8/144	126/9423	0.0634920634920635	4.1547619047619	4.44101922878183	0.000674050789795459	0.00130382087077224	0.000403964361152868	PTGS1/MAPK14/AKT1/MAPK3/MAPK1/NOS3/COL1A1/COL3A1	8
Organismal Systems	Immune system	hsa04650	Natural killer cell mediated cytotoxicity	8/144	133/9423	0.0601503759398496	3.93609022556391	4.24804950676377	0.000961589131634433	0.00183324546678507	0.000567996609371342	CASP3/PRKCA/TNF/ICAM1/MAPK3/MAPK1/PRKCB/IFNG	8
Organismal Systems	Nervous system	hsa04728	Dopaminergic synapse	8/144	133/9423	0.0601503759398496	3.93609022556391	4.24804950676377	0.000961589131634433	0.00183324546678507	0.000567996609371342	PRKCA/MAPK14/GSK3B/AKT1/MAPK8/FOS/PRKCB/DRD2	8
Cellular Processes	Transport and catabolism	hsa04140	Autophagy - animal	9/144	169/9423	0.0532544378698225	3.48483727810651	4.06049300980019	0.00111373010297015	0.00210813198062207	0.000653165022794524	BCL2/AKT1/MAPK8/MAPK3/MAPK1/BAD/BCL2L1/HIF1A/CTSD	9
Human Diseases	Immune disease	hsa05310	Asthma	4/144	32/9423	0.125	8.1796875	5.06788579246824	0.00134873123018599	0.00253484947517224	0.000785375408394975	IL4/TNF/IL10/CD40LG	4
Metabolism	Xenobiotics biodegradation and metabolism	hsa00983	Drug metabolism - other enzymes	6/144	82/9423	0.0731707317073171	4.78810975609756	4.2917557975352	0.00154871935768762	0.0028902157027269	0.000895478946624422	CYP3A4/GSTP1/GSTM1/GSTM2/CES1/MPO	6
Environmental Information Processing	Signal transduction	hsa04310	Wnt signaling pathway	9/144	178/9423	0.050561797752809	3.30863764044944	3.87359778929557	0.00160023967555454	0.00295290656227044	0.000914902529720335	PRKCA/GSK3B/PPARD/MAPK8/CCND1/TP53/MYC/PRKCB/CTNNB1	9
Cellular Processes	Cellular community - eukaryotes	hsa04550	Signaling pathways regulating pluripotency of stem cells	8/144	144/9423	0.0555555555555556	3.63541666666667	3.9699236592752	0.00160459828289413	0.00295290656227044	0.000914902529720335	MAPK14/GSK3B/AKT1/MAPK3/MAPK1/STAT3/MYC/CTNNB1	8
Organismal Systems	Nervous system	hsa04725	Cholinergic synapse	7/144	115/9423	0.0608695652173913	3.98315217391304	4.00957507215044	0.00186532267633434	0.00340903799468001	0.00105622627044703	BCL2/PRKCA/AKT1/MAPK3/MAPK1/FOS/PRKCB	7
Environmental Information Processing	Signal transduction	hsa04072	Phospholipase D signaling pathway	8/144	149/9423	0.0536912751677852	3.51342281879195	3.85236430978148	0.00199164849283728	0.00361497842877999	0.00112003303850979	PRKCA/AKT1/INSR/MAPK3/MAPK1/EGFR/EGF/CXCL8	8
Metabolism	Metabolism of other amino acids	hsa00480	Glutathione metabolism	5/144	59/9423	0.0847457627118644	5.54555084745763	4.36298813742669	0.00200604568278771	0.00361634085672615	0.00112045516117037	GSTP1/GSTM1/GSTM2/GSR/ODC1	5
Environmental Information Processing	Signaling molecules and interaction	hsa04517	IgSF CAM signaling	12/144	300/9423	0.04	2.6175	3.54681296984126	0.00211920774708124	0.00379452738497655	0.00117566290378618	PRKCA/KDR/MAPK14/GSK3B/AKT1/MAPK8/ICAM1/MAPK3/MAPK1/PRKCB/CTNNB1/APP	12
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	6/144	89/9423	0.0674157303370786	4.41151685393258	4.02819823519016	0.00235587883458928	0.00418998584675274	0.0012981882663226	PLAU/F7/F3/PLAT/THBD/SERPINE1	6
Organismal Systems	Digestive system	hsa04976	Bile secretion	6/144	90/9423	0.0666666666666667	4.3625	3.99277762791859	0.00249298931252364	0.00440428111879177	0.00136458362369715	RXRA/CYP3A4/LDLR/HMGCR/CA2/ABCG2	6
Human Diseases	Cancer: specific types	hsa05217	Basal cell carcinoma	5/144	63/9423	0.0793650793650794	5.19345238095238	4.16012399008055	0.00268259985293315	0.00470787391408797	0.00145864613822785	BAX/GSK3B/CDKN1A/TP53/CTNNB1	5
Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	5/144	64/9423	0.078125	5.1123046875	4.11209137686041	0.00287476342419798	0.00501192307508201	0.00155285004908201	PTGS1/PTGS2/LTA4H/ALOX5/PTGES	5
